@relation feature_vector

@attribute alpha_one numeric
@attribute alpha_two numeric
@attribute alpha_three numeric
@attribute alpha_four numeric
@attribute alpha_five numeric
@attribute alpha_six numeric
@attribute watermarked {1,0}

@data
18.42,43.98,167.76,10.89,14.56,15.12,0
2.93,2.03,18.93,161.53,16.18,167.78,0
140.13,35.73,19.02,41.74,142.93,126.94,1
12.73,81.85,152.11,18.8,22.49,11.74,0
152.29,142.65,47.41,126.04,18.36,27.19,0
12.98,15.74,5.45,6.91,12.32,10.9,0
160.71,169.28,167.92,6.67,11.47,22.48,0
12.28,9.02,12.9,10.96,10.33,9.28,0
13.89,12.79,11.88,11.32,10.53,6.17,0
9.95,6.47,7.75,11.1,40.97,170.37,0
6.59,6.98,5.63,13.45,168.03,138.08,0
9.75,8.21,8.19,14.49,9.64,173.38,0
23.86,153.76,19.28,6.23,12.96,14.94,0
8.8,10.55,174.91,5.8,5.63,15.74,0
13.73,166.86,11.05,5.06,7.88,7.97,0
10.77,8.04,3.17,173.24,8.87,8.06,0
9.46,7.26,10.29,12.53,4.7,9.02,0
17.02,14.36,148.46,23.93,154.31,109.05,0
121.67,33.14,109.44,111.78,37.74,97.41,0
25.59,22.42,8.87,141.88,143.46,30.95,0
167.54,26.76,58.5,170.51,6.16,114.97,0
149.12,96.84,21.89,25.94,25.85,29.66,0
11.88,169.52,8,7.14,5.43,12.34,0
21.23,8.75,174.72,21.78,25.92,22.57,0
119.4,48.32,131.78,113.75,42.37,67.58,0
13.51,8.88,4.5,4.55,0.91,165.88,0
8.64,71.31,159.68,15.6,24.73,23.73,0
33.97,8.57,171.81,9.62,11.07,11.19,0
5.08,7.76,7.88,3.7,11.84,14.83,0
4.99,5.71,6.87,4.06,13.98,170.97,0
137.99,143.77,33.82,38.29,50.68,125.28,0
12.89,14.85,10.2,11.27,12.01,166.03,0
159.46,28.19,16.85,15.43,18.2,17.04,0
151.91,18.07,12.85,19.49,20.04,27.45,0
89.21,141.94,39.76,14.27,14.15,25.96,0
13.8,165.13,9.48,10.17,5.4,3.78,0
4.52,5.11,11.74,4.13,10.6,9.15,0
72.87,70.22,88.76,123.55,60.17,95.01,0
95.01,78.48,72.06,97.27,77.98,105.38,0
118.16,53.49,42.45,55.39,123.34,113.82,1
7.25,159.95,19.64,6.55,25.27,150.99,0
6.31,2.48,24.27,167.63,2.25,6.58,0
118.28,32.69,108.99,104.79,40.71,119.6,0
10.57,11.4,5.62,174.01,11.01,3.17,0
39.85,133.54,129.25,28.06,140.64,86.73,0
148.76,152.63,30.07,139.94,68.33,29.42,0
103.97,53.59,121.69,111.16,66.38,76.58,0
40.09,118.64,127.89,145.71,34.2,42.83,0
133.56,33.76,146.39,43.24,22.51,84.53,0
169.79,168.95,169.8,13.92,10.22,10.48,0
153.26,3.43,14.02,13.31,6.14,89.67,0
7.41,171.97,10.65,7.97,5.43,9.7,0
6.44,6.82,10.45,168.91,6.21,5.87,0
62.61,77.08,110.79,69.22,92.75,46.09,0
12.89,135.12,172.72,6.57,7.26,10.71,0
10.39,77.77,153.57,6.65,10.94,14.07,0
78.33,78.08,70.98,108.54,73.49,88.78,0
102.29,114.84,54.72,44.07,113.11,62.19,0
19.25,19.41,8.08,11.57,18.36,154.87,0
25.57,23.04,31.59,137.31,130.59,142.41,0
98.55,28.22,92.12,12.04,42.15,19.47,0
23.13,19.63,5.3,104.64,155.09,5.82,0
27.73,150.09,135.68,15.57,17.67,25.42,0
127.41,22.56,46.88,133.92,31.19,150.84,0
5.14,5.35,7.27,20.15,168.26,5.1,0
2.32,9.02,5.85,2.88,7.14,9.35,0
9.4,12.4,4.79,7.58,5.37,4.74,0
76.17,104.81,106.92,101.65,57.74,60.92,0
12.54,11.63,164.74,6.32,6.04,5.4,0
138.37,64.46,44.13,36.21,19.02,131.84,0
2.66,5.66,2.34,161.93,13.43,14.73,0
12.95,16.25,4.53,174.72,15.44,13.46,0
109.01,114.11,65.97,22.42,58.82,108.64,0
170.02,10.03,9.15,6.3,7.49,15.32,0
4.05,8.87,11.03,167.99,2.53,8.03,0
12.55,12.84,7.35,13.83,103.08,160.28,0
124.05,33.94,92.22,125.82,30.72,23.18,0
70.33,65.77,115.92,64.07,90.08,75.46,0
5.88,5.85,11.12,7.94,10.48,165.89,0
15.39,12.2,10.52,169.85,15.82,14.76,0
17.14,19.05,174.92,7.84,16.1,16.51,0
18.31,15.25,8.43,7.61,33.03,157.78,0
16.94,165.54,3.21,3.41,3.92,4.37,0
156.74,58.6,12.56,9.17,12.18,25.21,0
46.16,140.69,35.06,134.1,23.7,21.4,0
51.05,67.31,111.48,43.09,110.23,55.36,0
18.51,19.22,20.87,148.15,159.35,144.76,0
159.29,14.67,16.98,5.93,6.43,6.35,0
18.54,18.69,16.35,146.35,157.26,26.72,0
5.4,14.66,166.41,14.74,10.28,6.96,0
4.95,9.81,6.85,166.89,18.1,17.37,0
9.34,13.11,11.74,165.77,20.07,19.82,0
11.7,8.17,13.96,70.94,8.75,168.35,0
13.45,11.94,9.22,9.74,10.97,165.18,0
11.66,22.35,30.94,145.9,144.93,156.25,0
9.01,16.8,159.74,18.32,1.14,8.73,0
9.51,4.78,9.46,6.04,10.6,15.86,0
75.88,74.65,113.42,78.94,69.74,47.18,0
32.25,22.22,22.19,143.87,132.05,130.27,0
9.67,10.47,18.94,8.01,13.36,15.42,0
74.6,60.6,22.14,92.99,106.75,73.2,0
20.23,8,25.37,38.5,145.55,19.83,0
6.43,158.47,13.34,11.23,175.29,7.75,0
93.2,26.65,140.36,27.33,27.12,136.63,0
167.33,6.14,9.57,4.82,5.43,7.34,0
7.62,5.27,1.84,8.84,8.38,3.04,0
51.75,120.51,36.22,39.94,137.82,74.77,0
18.95,155.99,10.37,11.76,8.31,10.69,0
15.11,25.62,25.7,4.52,85.11,153.61,0
10.73,9.66,168.92,16.65,16.2,10.08,0
11.07,11.22,172.46,25.9,14.21,11.65,0
14.68,5.46,63.26,157.11,15.99,17.58,0
120.2,40.91,116.3,88.25,42.62,142.08,0
163,152.43,79.35,15.81,22.56,28.66,0
10.7,11.83,19.41,156.1,7.59,7.24,0
12.12,12.07,14.49,160.35,22.9,22.92,0
3.94,10.83,168.32,11.55,4.84,2.18,0
16.39,18.67,161.13,161.72,9.86,14.12,0
12.72,11.46,9.86,169.13,7.52,6.63,0
10.51,9.62,5.13,11.35,167.56,12.65,0
172.36,20.88,18.9,10.11,15.19,14.77,0
54.25,47.99,117.89,62.33,100.63,39.63,0
10.96,9.18,8.02,16.96,15.2,14.82,0
142.56,20.35,18.15,32.14,135.7,138.3,1
49.97,141.35,153.87,26.64,34.34,34.29,0
2.81,0.99,5.68,16.29,163.28,6.06,0
15.63,19.88,20,171.5,11.26,8.43,0
4.5,14.96,164.95,15.04,9.18,6.26,0
53.5,55.77,92.93,111.96,111.45,108.8,0
118.11,136.29,140.43,74.6,27.6,26.2,0
49.46,10.07,19.35,34.16,12.21,161.22,0
18.59,29.06,11.43,84.7,136.02,14.89,0
55.35,34.63,90.14,76.88,83.9,112.52,0
161.08,85.26,11.04,8.63,13.36,15.96,0
169.99,13.75,12.51,5.37,3.88,4.03,0
68.18,107.58,66.86,59.05,108.05,19.35,0
62.05,91.48,65.48,92.29,91.62,69.18,0
86.41,160.93,13.67,5.88,8.45,5.44,0
5.97,1.44,7.5,9.52,4.12,9.27,0
114.08,167.47,16.97,8.53,16.24,16.69,0
71.16,119.23,107.8,18.4,59.4,65.35,0
103.37,93.82,92.22,83.95,27.24,69.68,0
16.88,19.11,29.89,147.27,12.63,11.63,0
15.59,9.49,13.65,11.5,18.9,166.06,0
27.22,46.3,174.73,8.49,132.75,151.62,0
12.1,5.63,20.43,165.89,11.45,11.95,0
7.17,5.09,7.13,8.67,9.57,6.68,0
12.25,10.53,10.46,13.7,160.43,11.32,0
99.39,78.73,52.14,81.9,83.74,83.73,0
9.08,81.52,159.09,9.12,11.45,8.88,0
26.65,21.99,27.67,150.41,155.24,141.93,0
87.4,4.18,4.11,4.87,5.35,162.68,0
21.93,21.96,10.33,9.79,9.76,9.59,0
81.51,64.97,80.05,104.6,60.73,96.82,0
11.01,11.74,165.32,147.57,22.64,22.25,0
9.82,2.99,4.91,6.21,176.61,15.06,0
18.72,5.57,5.78,14.45,118.72,159.68,0
15.74,11.6,27.17,155.49,16.89,19.59,0
9.97,164.14,8.24,8.4,3.05,8.1,0
17.44,17.22,26.05,143.96,136.99,155.84,0
169.79,90.71,12.4,11.89,12.92,12.91,0
149.84,152.44,28.18,8.49,32.25,148.34,0
50.34,103.29,103.91,97.98,62.96,58.04,0
22.54,9.87,17.75,5.33,163.13,158.09,0
146.5,9.46,8.05,28.04,19.44,161.2,0
43.69,46.77,99.81,125.35,54.59,108.65,0
26.56,20.54,30.2,139.85,126.83,127.88,0
8.36,10.69,10.23,7.48,10.53,10.68,0
18.6,17.86,7.52,57.18,158.09,15.17,0
72.42,88.07,96.44,107.71,61.09,24.9,0
14.62,170.96,7.78,8.97,11.81,12.64,0
138.58,125.6,24.21,31.65,32.16,116.38,0
41.75,36.24,40.06,99.77,127.57,135.3,0
167.41,91.13,6,6.22,9.1,8.97,0
172.94,5.51,13.27,7.3,11.16,23.2,0
8.55,158.31,173.34,2.58,9.63,9.83,0
147.99,42.43,13.45,14.53,158.11,156.35,1
9.15,8.18,7.51,11.63,167.09,9.46,0
4.9,7.88,172.55,19.99,7.24,10.06,0
9.61,11.74,6.02,11.78,7.73,5.5,0
148.9,12.45,14.05,152.32,13.78,97.61,0
9.13,162.45,19.98,8.28,0.84,4.38,0
10.14,5.24,9.88,173.24,9.34,6.69,0
11.16,11.81,124.19,166.24,14,14.51,0
14.55,7.95,11.19,132.86,143.72,21.19,0
8.71,73.72,10.42,24.46,5.67,171.94,0
59.39,74.91,119.85,124.64,46.1,66.28,0
29.68,23.65,17.21,26.63,150.19,19.66,0
7.81,7.88,2.45,12.79,10.43,6.96,0
5.74,4.55,6.65,13.98,177.13,5.25,0
10.18,8.32,10.24,4.43,11.32,13.9,0
11.34,167.11,7.51,10.26,6.63,6.45,0
131.57,37.81,22.45,61.98,134.26,29.92,1
62.22,21.45,121.49,124.54,53.2,58.66,0
16.42,16.86,10.74,8.18,9.5,15.33,0
56.03,55.5,103.08,121.6,40.22,113.49,0
4.27,7.62,170.88,3.95,6.29,6.86,0
12.65,24.06,6.19,153.02,108.37,5.9,0
44.82,46.72,39.91,83.45,136.67,136.59,0
6.32,8.7,8.65,1.62,169.42,32.06,0
17.53,151.58,14.02,25.93,156.69,23.61,0
12.31,13.74,2.52,2.7,5.18,165.32,0
8.44,8.88,1.67,8.16,10.09,3.13,0
9.58,9.84,10.54,12.5,9.65,10.37,0
28.97,155.49,12.68,161.95,19.2,27.99,0
19.36,19.2,166.57,10.97,7.42,10.5,0
19.13,19.14,11.72,35.99,167.11,6.45,0
113.58,108.81,59.47,42.83,52.19,100.77,0
20.32,3.29,174.23,4.71,12.23,5.93,0
53.24,51.74,37.06,102.9,114.21,80.38,0
117.11,62.83,68.01,98.88,95.17,100.39,0
22.45,170.24,168.76,1.65,3.32,17.21,0
13.21,8.18,176.67,10.06,7.18,10.99,0
17.26,16.88,8.26,10.19,31.85,157.55,0
16.91,4.7,171.58,100.97,156.53,27.63,0
172.16,94.7,3.25,3.49,5.05,6.69,0
18.29,17.89,13.39,105.71,153.24,5.08,0
21.4,18.34,14.05,12.4,59.9,156.5,0
172.28,24.53,5.05,9.47,9.56,9.51,0
17.37,10.69,11.5,9.49,62.32,162.77,0
173.5,17.47,5.3,5.34,5.81,7.82,0
16.46,10.16,16.82,37.3,138.25,29.43,0
168.95,10.96,11.57,172.74,13.65,113.72,0
13.54,60.07,168.75,9.51,125.97,12.87,0
71.3,73.29,54.51,54.63,125.33,74.24,0
13.83,13.12,53.67,168.39,9.21,13.79,0
5.8,6.36,74.44,159.01,6.27,85.46,0
5.61,5.53,5.92,6.79,9.58,6.54,0
13.53,6.28,175.24,23.42,162,17,0
14.36,5.85,7.3,9.85,15.07,169.89,0
176.73,1.77,11.09,6.08,6.35,11.62,0
16.03,15.16,14.94,18.71,27.53,163.19,0
